trip_id,start_time,end_time,headway_secs,exact_times
10_1_WD,05:00:00,06:29:00,660,
10_1_WD,06:30:00,08:30:00,510,
10_1_WD,08:31:00,16:59:00,660,
10_1_WD,17:00:00,19:00:00,750,
10_1_WD,19:01:00,23:00:00,960,
10_1_SAT,05:00:00,06:29:00,660,
10_1_SAT,06:30:00,08:30:00,510,
10_1_SAT,08:31:00,16:59:00,660,
10_1_SAT,17:00:00,19:00:00,750,
10_1_SAT,19:01:00,23:00:00,960,
10_1_SUN,05:00:00,06:29:00,660,
10_1_SUN,06:30:00,08:30:00,510,
10_1_SUN,08:31:00,16:59:00,660,
10_1_SUN,17:00:00,19:00:00,750,
10_1_SUN,19:01:00,23:00:00,960,
10_2_WD,06:00:00,06:29:00,810,
10_2_WD,06:30:00,08:30:00,630,
10_2_WD,08:31:00,16:59:00,810,
10_2_WD,17:00:00,19:00:00,630,
10_2_WD,19:01:00,24:00:00,870,
10_2_SAT,06:00:00,06:29:00,810,
10_2_SAT,06:30:00,08:30:00,630,
10_2_SAT,08:31:00,16:59:00,810,
10_2_SAT,17:00:00,19:00:00,630,
10_2_SAT,19:01:00,24:00:00,870,
10_2_SUN,06:15:00,06:29:00,810,
10_2_SUN,06:30:00,08:30:00,630,
10_2_SUN,08:31:00,16:59:00,810,
10_2_SUN,17:00:00,19:00:00,630,
10_2_SUN,19:01:00,24:00:00,870,
100_1_WD,05:30:00,06:29:00,600,
100_1_WD,06:30:00,08:30:00,480,
100_1_WD,08:31:00,16:59:00,600,
100_1_WD,17:00:00,19:00:00,660,
100_1_WD,19:01:00,23:45:00,1050,
100_1_SAT,05:30:00,06:29:00,600,
100_1_SAT,06:30:00,08:30:00,480,
100_1_SAT,08:31:00,16:59:00,600,
100_1_SAT,17:00:00,19:00:00,660,
100_1_SAT,19:01:00,23:45:00,1050,
100_1_SUN,05:30:00,06:29:00,600,
100_1_SUN,06:30:00,08:30:00,480,
100_1_SUN,08:31:00,16:59:00,600,
100_1_SUN,17:00:00,19:00:00,660,
100_1_SUN,19:01:00,23:45:00,1050,
100_2_WD,06:00:00,06:29:00,570,
100_2_WD,06:30:00,08:30:00,450,
100_2_WD,08:31:00,16:59:00,570,
100_2_WD,17:00:00,19:00:00,540,
100_2_WD,19:01:00,24:00:00,870,
100_2_SAT,06:00:00,06:29:00,570,
100_2_SAT,06:30:00,08:30:00,450,
100_2_SAT,08:31:00,16:59:00,570,
100_2_SAT,17:00:00,19:00:00,540,
100_2_SAT,19:01:00,24:00:00,870,
100_2_SUN,06:00:00,06:29:00,570,
100_2_SUN,06:30:00,08:30:00,450,
100_2_SUN,08:31:00,16:59:00,570,
100_2_SUN,17:00:00,19:00:00,540,
100_2_SUN,19:01:00,24:00:00,870,
100A_1_WD,06:30:00,08:30:00,1860,
100A_1_WD,17:00:00,19:00:00,1410,
100A_1_WD,19:01:00,19:42:00,1020,
101_1_WD,05:15:00,06:29:00,600,
101_1_WD,06:30:00,08:30:00,510,
101_1_WD,08:31:00,16:59:00,600,
101_1_WD,17:00:00,19:00:00,510,
101_1_WD,19:01:00,24:00:00,660,
101_1_SAT,05:15:00,06:29:00,600,
101_1_SAT,06:30:00,08:30:00,510,
101_1_SAT,08:31:00,16:59:00,600,
101_1_SAT,17:00:00,19:00:00,510,
101_1_SAT,19:01:00,24:00:00,660,
101_1_SUN,05:15:00,06:29:00,600,
101_1_SUN,06:30:00,08:30:00,510,
101_1_SUN,08:31:00,16:59:00,600,
101_1_SUN,17:00:00,19:00:00,510,
101_1_SUN,19:01:00,24:00:00,660,
102_1_WD,05:30:00,06:29:00,690,
102_1_WD,06:30:00,08:30:00,600,
102_1_WD,08:31:00,16:59:00,690,
102_1_WD,17:00:00,19:00:00,660,
102_1_WD,19:01:00,23:30:00,780,
102_1_SAT,05:30:00,06:29:00,690,
102_1_SAT,06:30:00,08:30:00,600,
102_1_SAT,08:31:00,16:59:00,690,
102_1_SAT,17:00:00,19:00:00,660,
102_1_SAT,19:01:00,23:30:00,780,
102_1_SUN,05:30:00,06:29:00,690,
102_1_SUN,06:30:00,08:30:00,600,
102_1_SUN,08:31:00,16:59:00,690,
102_1_SUN,17:00:00,19:00:00,660,
102_1_SUN,19:01:00,23:30:00,780,
103_1_WD,06:00:00,06:29:00,720,
103_1_WD,06:30:00,08:30:00,690,
103_1_WD,08:31:00,16:59:00,720,
103_1_WD,17:00:00,19:00:00,780,
103_1_WD,19:01:00,00:15:00,960,
103_1_SAT,06:00:00,06:29:00,720,
103_1_SAT,06:30:00,08:30:00,690,
103_1_SAT,08:31:00,16:59:00,720,
103_1_SAT,17:00:00,19:00:00,780,
103_1_SAT,19:01:00,24:00:00,960,
103_1_SUN,06:00:00,06:29:00,720,
103_1_SUN,06:30:00,08:30:00,690,
103_1_SUN,08:31:00,16:59:00,720,
103_1_SUN,17:00:00,19:00:00,780,
103_1_SUN,19:01:00,24:00:00,960,
103_2_WD,06:00:00,06:29:00,750,
103_2_WD,06:30:00,08:30:00,630,
103_2_WD,08:31:00,16:59:00,750,
103_2_WD,17:00:00,19:00:00,660,
103_2_WD,19:01:00,24:00:00,930,
103_2_SAT,06:00:00,06:29:00,750,
103_2_SAT,06:30:00,08:30:00,630,
103_2_SAT,08:31:00,16:59:00,750,
103_2_SAT,17:00:00,19:00:00,660,
103_2_SAT,19:01:00,24:00:00,930,
103_2_SUN,06:00:00,06:29:00,750,
103_2_SUN,06:30:00,08:30:00,630,
103_2_SUN,08:31:00,16:59:00,750,
103_2_SUN,17:00:00,19:00:00,660,
103_2_SUN,19:01:00,24:00:00,930,
105_1_WD,05:45:00,06:29:00,600,
105_1_WD,06:30:00,08:30:00,600,
105_1_WD,08:31:00,16:59:00,600,
105_1_WD,17:00:00,19:00:00,780,
105_1_WD,19:01:00,24:00:00,750,
105_1_SAT,05:45:00,06:29:00,600,
105_1_SAT,06:30:00,08:30:00,600,
105_1_SAT,08:31:00,16:59:00,600,
105_1_SAT,17:00:00,19:00:00,780,
105_1_SAT,19:01:00,24:00:00,750,
105_1_SUN,06:00:00,06:29:00,600,
105_1_SUN,06:30:00,08:30:00,600,
105_1_SUN,08:31:00,16:59:00,600,
105_1_SUN,17:00:00,19:00:00,780,
105_1_SUN,19:01:00,24:00:00,750,
105_2_WD,05:45:00,06:29:00,690,
105_2_WD,06:30:00,08:30:00,660,
105_2_WD,08:31:00,16:59:00,690,
105_2_WD,17:00:00,19:00:00,720,
105_2_WD,19:01:00,23:45:00,780,
105_2_SAT,05:45:00,06:29:00,690,
105_2_SAT,06:30:00,08:30:00,660,
105_2_SAT,08:31:00,16:59:00,690,
105_2_SAT,17:00:00,19:00:00,720,
105_2_SAT,19:01:00,24:00:00,780,
105_2_SUN,05:45:00,06:29:00,690,
105_2_SUN,06:30:00,08:30:00,660,
105_2_SUN,08:31:00,16:59:00,690,
105_2_SUN,17:00:00,19:00:00,720,
105_2_SUN,19:01:00,23:45:00,780,
105B_1_WD,06:30:00,08:30:00,840,
106_1_WD,05:30:00,06:29:00,600,
106_1_WD,06:30:00,08:30:00,510,
106_1_WD,08:31:00,16:59:00,600,
106_1_WD,17:00:00,19:00:00,780,
106_1_WD,19:01:00,23:30:00,840,
106_1_SAT,05:30:00,06:29:00,600,
106_1_SAT,06:30:00,08:30:00,510,
106_1_SAT,08:31:00,16:59:00,600,
106_1_SAT,17:00:00,19:00:00,780,
106_1_SAT,19:01:00,23:30:00,840,
106_1_SUN,05:30:00,06:29:00,600,
106_1_SUN,06:30:00,08:30:00,510,
106_1_SUN,08:31:00,16:59:00,600,
106_1_SUN,17:00:00,19:00:00,780,
106_1_SUN,19:01:00,23:30:00,840,
106_2_WD,06:00:00,06:29:00,690,
106_2_WD,06:30:00,08:30:00,690,
106_2_WD,08:31:00,16:59:00,690,
106_2_WD,17:00:00,19:00:00,690,
106_2_WD,19:01:00,23:30:00,780,
106_2_SAT,06:00:00,06:29:00,690,
106_2_SAT,06:30:00,08:30:00,690,
106_2_SAT,08:31:00,16:59:00,690,
106_2_SAT,17:00:00,19:00:00,690,
106_2_SAT,19:01:00,23:30:00,780,
106_2_SUN,06:00:00,06:29:00,690,
106_2_SUN,06:30:00,08:30:00,690,
106_2_SUN,08:31:00,16:59:00,690,
106_2_SUN,17:00:00,19:00:00,690,
106_2_SUN,19:01:00,23:30:00,780,
106A_1_WD,06:30:00,08:30:00,540,
106A_1_WD,08:31:00,16:59:00,540,
107_1_WD,05:30:00,06:29:00,810,
107_1_WD,06:30:00,08:30:00,510,
107_1_WD,08:31:00,16:59:00,810,
107_1_WD,17:00:00,19:00:00,810,
107_1_WD,19:01:00,19:30:00,1080,
107_1_SAT,05:30:00,06:29:00,810,
107_1_SAT,06:30:00,08:30:00,510,
107_1_SAT,08:31:00,16:59:00,810,
107_1_SAT,17:00:00,19:00:00,810,
107_1_SAT,19:01:00,13:30:00,1080,
107_2_WD,05:45:00,06:29:00,780,
107_2_WD,06:30:00,08:30:00,870,
107_2_WD,08:31:00,16:59:00,780,
107_2_WD,17:00:00,19:00:00,660,
107_2_WD,19:01:00,19:17:00,780,
107_2_SAT,05:45:00,06:29:00,780,
107_2_SAT,06:30:00,08:30:00,870,
107_2_SAT,08:31:00,16:59:00,780,
107_2_SAT,17:00:00,19:00:00,660,
107_2_SAT,19:01:00,14:00:00,780,
107M_1_WD,06:30:00,08:30:00,870,
107M_1_WD,08:31:00,16:59:00,870,
107M_1_WD,17:00:00,19:00:00,960,
107M_1_WD,19:01:00,23:15:00,900,
107M_1_SAT,06:30:00,08:30:00,870,
107M_1_SAT,08:31:00,16:59:00,870,
107M_1_SAT,17:00:00,19:00:00,960,
107M_1_SAT,19:01:00,23:15:00,900,
107M_1_SUN,05:45:00,06:29:00,870,
107M_1_SUN,06:30:00,08:30:00,870,
107M_1_SUN,08:31:00,16:59:00,870,
107M_1_SUN,17:00:00,19:00:00,960,
107M_1_SUN,19:01:00,23:15:00,900,
109_1_WD,05:45:00,06:29:00,750,
109_1_WD,06:30:00,08:30:00,720,
109_1_WD,08:31:00,16:59:00,750,
109_1_WD,17:00:00,19:00:00,960,
109_1_WD,19:01:00,23:30:00,840,
109_1_SAT,06:00:00,06:29:00,750,
109_1_SAT,06:30:00,08:30:00,720,
109_1_SAT,08:31:00,16:59:00,750,
109_1_SAT,17:00:00,19:00:00,960,
109_1_SAT,19:01:00,23:30:00,840,
109_1_SUN,06:00:00,06:29:00,750,
109_1_SUN,06:30:00,08:30:00,720,
109_1_SUN,08:31:00,16:59:00,750,
109_1_SUN,17:00:00,19:00:00,960,
109_1_SUN,19:01:00,23:30:00,840,
109_2_WD,06:00:00,06:29:00,780,
109_2_WD,06:30:00,08:30:00,750,
109_2_WD,08:31:00,16:59:00,780,
109_2_WD,17:00:00,19:00:00,690,
109_2_WD,19:01:00,23:30:00,930,
109_2_SAT,06:00:00,06:29:00,780,
109_2_SAT,06:30:00,08:30:00,750,
109_2_SAT,08:31:00,16:59:00,780,
109_2_SAT,17:00:00,19:00:00,690,
109_2_SAT,19:01:00,23:30:00,930,
109_2_SUN,06:00:00,06:29:00,780,
109_2_SUN,06:30:00,08:30:00,750,
109_2_SUN,08:31:00,16:59:00,780,
109_2_SUN,17:00:00,19:00:00,690,
109_2_SUN,19:01:00,23:30:00,930,
109A_1_WD,17:00:00,19:00:00,930,
109A_1_WD,19:01:00,20:11:00,1260,
10e_1_WD,06:30:00,08:30:00,720,
10e_2_WD,17:00:00,19:00:00,600,
11_1_WD,06:00:00,06:29:00,1020,
11_1_WD,06:30:00,08:30:00,960,
11_1_WD,08:31:00,16:59:00,1020,
11_1_WD,17:00:00,19:00:00,1020,
11_1_WD,19:01:00,23:30:00,1200,
11_1_SAT,06:00:00,06:29:00,1020,
11_1_SAT,06:30:00,08:30:00,960,
11_1_SAT,08:31:00,16:59:00,1020,
11_1_SAT,17:00:00,19:00:00,1020,
11_1_SAT,19:01:00,23:30:00,1200,
11_1_SUN,06:00:00,06:29:00,1020,
11_1_SUN,06:30:00,08:30:00,960,
11_1_SUN,08:31:00,16:59:00,1020,
11_1_SUN,17:00:00,19:00:00,1020,
11_1_SUN,19:01:00,23:30:00,1200,
110_1_WD,05:30:00,06:29:00,600,
110_1_WD,06:30:00,08:30:00,570,
110_1_WD,08:31:00,16:59:00,600,
110_1_WD,17:00:00,19:00:00,720,
110_1_WD,19:01:00,23:45:00,690,
110_1_SAT,05:30:00,06:29:00,600,
110_1_SAT,06:30:00,08:30:00,570,
110_1_SAT,08:31:00,16:59:00,600,
110_1_SAT,17:00:00,19:00:00,720,
110_1_SAT,19:01:00,23:45:00,690,
110_1_SUN,05:30:00,06:29:00,600,
110_1_SUN,06:30:00,08:30:00,570,
110_1_SUN,08:31:00,16:59:00,600,
110_1_SUN,17:00:00,19:00:00,720,
110_1_SUN,19:01:00,23:45:00,690,
111_1_WD,06:00:00,06:29:00,690,
111_1_WD,06:30:00,08:30:00,600,
111_1_WD,08:31:00,16:59:00,690,
111_1_WD,17:00:00,19:00:00,660,
111_1_WD,19:01:00,24:00:00,720,
111_1_SAT,06:00:00,06:29:00,690,
111_1_SAT,06:30:00,08:30:00,600,
111_1_SAT,08:31:00,16:59:00,690,
111_1_SAT,17:00:00,19:00:00,660,
111_1_SAT,19:01:00,24:00:00,720,
111_1_SUN,06:00:00,06:29:00,690,
111_1_SUN,06:30:00,08:30:00,600,
111_1_SUN,08:31:00,16:59:00,690,
111_1_SUN,17:00:00,19:00:00,660,
111_1_SUN,19:01:00,24:00:00,720,
112_1_WD,05:15:00,06:29:00,810,
112_1_WD,06:30:00,08:30:00,780,
112_1_WD,08:31:00,16:59:00,810,
112_1_WD,17:00:00,19:00:00,810,
112_1_WD,19:01:00,00:30:00,960,
112_1_SAT,05:15:00,06:29:00,810,
112_1_SAT,06:30:00,08:30:00,780,
112_1_SAT,08:31:00,16:59:00,810,
112_1_SAT,17:00:00,19:00:00,810,
112_1_SAT,19:01:00,00:30:00,960,
112_1_SUN,05:15:00,06:29:00,810,
112_1_SUN,06:30:00,08:30:00,780,
112_1_SUN,08:31:00,16:59:00,810,
112_1_SUN,17:00:00,19:00:00,810,
112_1_SUN,19:01:00,00:30:00,960,
112A_1_WD,19:01:00,00:30:00,900,
112A_1_SAT,19:01:00,00:30:00,900,
112A_1_SUN,19:01:00,00:30:00,900,
113_1_WD,05:20:00,06:29:00,810,
113_1_WD,06:30:00,08:30:00,750,
113_1_WD,08:31:00,16:59:00,810,
113_1_WD,17:00:00,19:00:00,930,
113_1_WD,19:01:00,00:10:00,750,
113_1_SAT,05:20:00,06:29:00,810,
113_1_SAT,06:30:00,08:30:00,750,
113_1_SAT,08:31:00,16:59:00,810,
113_1_SAT,17:00:00,19:00:00,930,
113_1_SAT,19:01:00,00:10:00,750,
113_1_SUN,05:20:00,06:29:00,810,
113_1_SUN,06:30:00,08:30:00,750,
113_1_SUN,08:31:00,16:59:00,810,
113_1_SUN,17:00:00,19:00:00,930,
113_1_SUN,19:01:00,00:10:00,750,
113A_1_WD,06:30:00,08:30:00,900,
113A_1_WD,17:00:00,19:00:00,1050,
113A_1_WD,19:01:00,19:30:00,1560,
114_1_WD,06:00:00,06:29:00,780,
114_1_WD,06:30:00,08:30:00,600,
114_1_WD,08:31:00,16:59:00,780,
114_1_WD,17:00:00,19:00:00,660,
114_1_WD,19:01:00,00:35:00,870,
114_1_SAT,06:00:00,06:29:00,780,
114_1_SAT,06:30:00,08:30:00,600,
114_1_SAT,08:31:00,16:59:00,780,
114_1_SAT,17:00:00,19:00:00,660,
