trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
10_1_WD,23:00:00,23:00:00,75009,1,,,,,,0,0
10_1_SAT,23:00:00,23:00:00,75009,1,,,,,,0,0
10_1_SUN,23:00:00,23:00:00,75009,1,,,,,,0,0
10_1_WD,23:02:00,23:02:00,76059,2,,,,,,0.6,0
10_1_SAT,23:02:00,23:02:00,76059,2,,,,,,0.6,0
10_1_SUN,23:02:00,23:02:00,76059,2,,,,,,0.6,0
10_1_WD,23:04:00,23:04:00,76069,3,,,,,,1.1,0
10_1_SAT,23:04:00,23:04:00,76069,3,,,,,,1.1,0
10_1_SUN,23:04:00,23:04:00,76069,3,,,,,,1.1,0
10_1_WD,23:08:00,23:08:00,96289,4,,,,,,2.3,0
10_1_SAT,23:09:00,23:09:00,96289,4,,,,,,2.3,0
10_1_SUN,23:08:00,23:08:00,96289,4,,,,,,2.3,0
10_1_WD,23:10:00,23:10:00,96109,5,,,,,,2.7,0
10_1_SAT,23:11:00,23:11:00,96109,5,,,,,,2.7,0
10_1_SUN,23:09:00,23:09:00,96109,5,,,,,,2.7,0
10_1_WD,23:12:00,23:12:00,85079,6,,,,,,3.3,0
10_1_SAT,23:13:00,23:13:00,85079,6,,,,,,3.3,0
10_1_SUN,23:11:00,23:11:00,85079,6,,,,,,3.3,0
10_1_WD,23:13:00,23:13:00,85089,7,,,,,,3.5,0
10_1_SAT,23:14:00,23:14:00,85089,7,,,,,,3.5,0
10_1_SUN,23:12:00,23:12:00,85089,7,,,,,,3.5,0
10_1_WD,23:14:00,23:14:00,85069,8,,,,,,3.8,0
10_1_SAT,23:15:00,23:15:00,85069,8,,,,,,3.8,0
10_1_SUN,23:13:00,23:13:00,85069,8,,,,,,3.8,0
10_1_WD,23:15:00,23:15:00,85059,9,,,,,,4.1,0
10_1_SAT,23:16:00,23:16:00,85059,9,,,,,,4.1,0
10_1_SUN,23:14:00,23:14:00,85059,9,,,,,,4.1,0
10_1_WD,23:16:00,23:16:00,85049,10,,,,,,4.5,0
10_1_SAT,23:17:00,23:17:00,85049,10,,,,,,4.5,0
10_1_SUN,23:15:00,23:15:00,85049,10,,,,,,4.5,0
10_1_WD,23:17:00,23:17:00,85039,11,,,,,,4.8,0
10_1_SAT,23:19:00,23:19:00,85039,11,,,,,,4.8,0
10_1_SUN,23:17:00,23:17:00,85039,11,,,,,,4.8,0
10_1_WD,23:18:00,23:18:00,85029,12,,,,,,5,0
10_1_SAT,23:19:00,23:19:00,85029,12,,,,,,5,0
10_1_SUN,23:17:00,23:17:00,85029,12,,,,,,5,0
10_1_WD,23:18:00,23:18:00,85019,13,,,,,,5.2,0
10_1_SAT,23:20:00,23:20:00,85019,13,,,,,,5.2,0
10_1_SUN,23:18:00,23:18:00,85019,13,,,,,,5.2,0
10_1_WD,23:19:00,23:19:00,94079,14,,,,,,5.5,0
10_1_SAT,23:21:00,23:21:00,94079,14,,,,,,5.5,0
10_1_SUN,23:19:00,23:19:00,94079,14,,,,,,5.5,0
10_1_WD,23:20:00,23:20:00,94069,15,,,,,,6.1,0
10_1_SAT,23:22:00,23:22:00,94069,15,,,,,,6.1,0
10_1_SUN,23:21:00,23:21:00,94069,15,,,,,,6.1,0
10_1_WD,23:21:00,23:21:00,94059,16,,,,,,6.4,0
10_1_SAT,23:23:00,23:23:00,94059,16,,,,,,6.4,0
10_1_SUN,23:22:00,23:22:00,94059,16,,,,,,6.4,0
10_1_WD,23:22:00,23:22:00,94049,17,,,,,,6.8,0
10_1_SAT,23:24:00,23:24:00,94049,17,,,,,,6.8,0
10_1_SUN,23:23:00,23:23:00,94049,17,,,,,,6.8,0
10_1_WD,23:22:00,23:22:00,94089,18,,,,,,7,0
10_1_SAT,23:24:00,23:24:00,94089,18,,,,,,7,0
10_1_SUN,23:23:00,23:23:00,94089,18,,,,,,7,0
10_1_WD,23:23:00,23:23:00,94039,19,,,,,,7.3,0
10_1_SAT,23:25:00,23:25:00,94039,19,,,,,,7.3,0
10_1_SUN,23:24:00,23:24:00,94039,19,,,,,,7.3,0
10_1_WD,23:24:00,23:24:00,94029,20,,,,,,7.7,0
10_1_SAT,23:26:00,23:26:00,94029,20,,,,,,7.7,0
10_1_SUN,23:25:00,23:25:00,94029,20,,,,,,7.7,0
10_1_WD,23:25:00,23:25:00,94019,21,,,,,,7.9,0
10_1_SAT,23:26:00,23:26:00,94019,21,,,,,,7.9,0
10_1_SUN,23:26:00,23:26:00,94019,21,,,,,,7.9,0
10_1_WD,23:26:00,23:26:00,93099,22,,,,,,8.3,0
10_1_SAT,23:27:00,23:27:00,93099,22,,,,,,8.3,0
10_1_SUN,23:27:00,23:27:00,93099,22,,,,,,8.3,0
10_1_WD,23:27:00,23:27:00,93089,23,,,,,,8.8,0
10_1_SAT,23:28:00,23:28:00,93089,23,,,,,,8.8,0
10_1_SUN,23:29:00,23:29:00,93089,23,,,,,,8.8,0
10_1_WD,23:28:00,23:28:00,93079,24,,,,,,9.1,0
10_1_SAT,23:29:00,23:29:00,93079,24,,,,,,9.1,0
10_1_SUN,23:30:00,23:30:00,93079,24,,,,,,9.1,0
10_1_WD,23:29:00,23:29:00,93069,25,,,,,,9.4,0
10_1_SAT,23:30:00,23:30:00,93069,25,,,,,,9.4,0
10_1_SUN,23:31:00,23:31:00,93069,25,,,,,,9.4,0
10_1_WD,23:30:00,23:30:00,93059,26,,,,,,9.8,0
10_1_SAT,23:31:00,23:31:00,93059,26,,,,,,9.8,0
10_1_SUN,23:32:00,23:32:00,93059,26,,,,,,9.8,0
10_1_WD,23:31:00,23:31:00,92159,27,,,,,,10.1,0
10_1_SAT,23:32:00,23:32:00,92159,27,,,,,,10.1,0
10_1_SUN,23:33:00,23:33:00,92159,27,,,,,,10.1,0
10_1_WD,23:32:00,23:32:00,92149,28,,,,,,10.4,0
10_1_SAT,23:33:00,23:33:00,92149,28,,,,,,10.4,0
10_1_SUN,23:34:00,23:34:00,92149,28,,,,,,10.4,0
10_1_WD,23:32:00,23:32:00,92139,29,,,,,,10.7,0
10_1_SAT,23:34:00,23:34:00,92139,29,,,,,,10.7,0
10_1_SUN,23:35:00,23:35:00,92139,29,,,,,,10.7,0
10_1_WD,23:34:00,23:34:00,92129,30,,,,,,11.2,0
10_1_SAT,23:36:00,23:36:00,92129,30,,,,,,11.2,0
10_1_SUN,23:37:00,23:37:00,92129,30,,,,,,11.2,0
10_1_WD,23:35:00,23:35:00,92119,31,,,,,,11.7,0
10_1_SAT,23:37:00,23:37:00,92119,31,,,,,,11.7,0
10_1_SUN,23:38:00,23:38:00,92119,31,,,,,,11.7,0
10_1_WD,23:36:00,23:36:00,92109,32,,,,,,11.9,0
10_1_SAT,23:38:00,23:38:00,92109,32,,,,,,11.9,0
10_1_SUN,23:39:00,23:39:00,92109,32,,,,,,11.9,0
10_1_WD,23:36:00,23:36:00,92099,33,,,,,,12.2,0
10_1_SAT,23:39:00,23:39:00,92099,33,,,,,,12.2,0
10_1_SUN,23:39:00,23:39:00,92099,33,,,,,,12.2,0
10_1_WD,23:38:00,23:38:00,92161,34,,,,,,12.7,0
10_1_SAT,23:41:00,23:41:00,92161,34,,,,,,12.7,0
10_1_SUN,23:41:00,23:41:00,92161,34,,,,,,12.7,0
10_1_WD,23:39:00,23:39:00,82071,35,,,,,,13.1,0
10_1_SAT,23:42:00,23:42:00,82071,35,,,,,,13.1,0
10_1_SUN,23:42:00,23:42:00,82071,35,,,,,,13.1,0
10_1_WD,23:41:00,23:41:00,81199,36,,,,,,13.9,0
10_1_SAT,23:44:00,23:44:00,81199,36,,,,,,13.9,0
10_1_SUN,23:44:00,23:44:00,81199,36,,,,,,13.9,0
10_1_WD,23:41:00,23:41:00,81189,37,,,,,,14.2,0
10_1_SAT,23:45:00,23:45:00,81189,37,,,,,,14.2,0
10_1_SUN,23:44:00,23:44:00,81189,37,,,,,,14.2,0
10_1_WD,23:42:00,23:42:00,81179,38,,,,,,14.7,0
10_1_SAT,23:46:00,23:46:00,81179,38,,,,,,14.7,0
10_1_SUN,23:45:00,23:45:00,81179,38,,,,,,14.7,0
10_1_WD,23:43:00,23:43:00,80141,39,,,,,,15.3,0
10_1_SAT,23:47:00,23:47:00,80141,39,,,,,,15.3,0
10_1_SUN,23:47:00,23:47:00,80141,39,,,,,,15.3,0
10_1_WD,23:45:00,23:45:00,80219,40,,,,,,16,0
10_1_SAT,23:49:00,23:49:00,80219,40,,,,,,16,0
10_1_SUN,23:49:00,23:49:00,80219,40,,,,,,16,0
10_1_WD,23:48:00,23:48:00,80169,41,,,,,,17.4,0
10_1_SAT,23:53:00,23:53:00,80169,41,,,,,,17.4,0
10_1_SUN,23:52:00,23:52:00,80169,41,,,,,,17.4,0
10_1_WD,23:50:00,23:50:00,80159,42,,,,,,18.1,0
10_1_SAT,23:55:00,23:55:00,80159,42,,,,,,18.1,0
10_1_SUN,23:53:00,23:53:00,80159,42,,,,,,18.1,0
10_1_WD,23:51:00,23:51:00,02119,43,,,,,,18.6,0
10_1_SAT,23:56:00,23:56:00,02119,43,,,,,,18.6,0
10_1_SUN,23:54:00,23:54:00,02119,43,,,,,,18.6,0
10_1_WD,23:54:00,23:54:00,03019,44,,,,,,19.6,0
10_1_SAT,23:59:00,23:59:00,03019,44,,,,,,19.6,0
10_1_SUN,23:56:00,23:56:00,03019,44,,,,,,19.6,0
10_1_WD,23:55:00,23:55:00,03059,45,,,,,,19.9,0
