route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,WD,10_1_WD,,,0,,,,
10,SAT,10_1_SAT,,,0,,,,
10,SUN,10_1_SUN,,,0,,,,
10,WD,10_2_WD,,,1,,,,
10,SAT,10_2_SAT,,,1,,,,
10,SUN,10_2_SUN,,,1,,,,
100,WD,100_1_WD,,,0,,,,
100,SAT,100_1_SAT,,,0,,,,
100,SUN,100_1_SUN,,,0,,,,
100,WD,100_2_WD,,,1,,,,
100,SAT,100_2_SAT,,,1,,,,
100,SUN,100_2_SUN,,,1,,,,
100A,WD,100A_1_WD,,,0,,,,
101,WD,101_1_WD,,,0,,,,
101,SAT,101_1_SAT,,,0,,,,
101,SUN,101_1_SUN,,,0,,,,
102,WD,102_1_WD,,,0,,,,
102,SAT,102_1_SAT,,,0,,,,
102,SUN,102_1_SUN,,,0,,,,
103,WD,103_1_WD,,,0,,,,
103,SAT,103_1_SAT,,,0,,,,
103,SUN,103_1_SUN,,,0,,,,
103,WD,103_2_WD,,,1,,,,
103,SAT,103_2_SAT,,,1,,,,
103,SUN,103_2_SUN,,,1,,,,
105,WD,105_1_WD,,,0,,,,
105,SAT,105_1_SAT,,,0,,,,
105,SUN,105_1_SUN,,,0,,,,
105,WD,105_2_WD,,,1,,,,
105,SAT,105_2_SAT,,,1,,,,
105,SUN,105_2_SUN,,,1,,,,
105B,WD,105B_1_WD,,,0,,,,
106,WD,106_1_WD,,,0,,,,
106,SAT,106_1_SAT,,,0,,,,
106,SUN,106_1_SUN,,,0,,,,
106,WD,106_2_WD,,,1,,,,
106,SAT,106_2_SAT,,,1,,,,
106,SUN,106_2_SUN,,,1,,,,
106A,WD,106A_1_WD,,,0,,,,
107,WD,107_1_WD,,,0,,,,
107,SAT,107_1_SAT,,,0,,,,
107,WD,107_2_WD,,,1,,,,
107,SAT,107_2_SAT,,,1,,,,
107M,WD,107M_1_WD,,,0,,,,
107M,SAT,107M_1_SAT,,,0,,,,
107M,SUN,107M_1_SUN,,,0,,,,
109,WD,109_1_WD,,,0,,,,
109,SAT,109_1_SAT,,,0,,,,
109,SUN,109_1_SUN,,,0,,,,
109,WD,109_2_WD,,,1,,,,
109,SAT,109_2_SAT,,,1,,,,
109,SUN,109_2_SUN,,,1,,,,
109A,WD,109A_1_WD,,,0,,,,
10e,WD,10e_1_WD,,,0,,,,
10e,WD,10e_2_WD,,,1,,,,
11,WD,11_1_WD,,,0,,,,
11,SAT,11_1_SAT,,,0,,,,
11,SUN,11_1_SUN,,,0,,,,
110,WD,110_1_WD,,,0,,,,
110,SAT,110_1_SAT,,,0,,,,
110,SUN,110_1_SUN,,,0,,,,
111,WD,111_1_WD,,,0,,,,
111,SAT,111_1_SAT,,,0,,,,
111,SUN,111_1_SUN,,,0,,,,
112,WD,112_1_WD,,,0,,,,
112,SAT,112_1_SAT,,,0,,,,
112,SUN,112_1_SUN,,,0,,,,
112A,WD,112A_1_WD,,,0,,,,
112A,SAT,112A_1_SAT,,,0,,,,
112A,SUN,112A_1_SUN,,,0,,,,
113,WD,113_1_WD,,,0,,,,
113,SAT,113_1_SAT,,,0,,,,
113,SUN,113_1_SUN,,,0,,,,
113A,WD,113A_1_WD,,,0,,,,
114,WD,114_1_WD,,,0,,,,
114,SAT,114_1_SAT,,,0,,,,
114,SUN,114_1_SUN,,,0,,,,
114A,WD,114A_1_WD,,,0,,,,
115,WD,115_1_WD,,,0,,,,
115,SAT,115_1_SAT,,,0,,,,
115,SUN,115_1_SUN,,,0,,,,
116,WD,116_1_WD,,,0,,,,
116,SAT,116_1_SAT,,,0,,,,
116,SUN,116_1_SUN,,,0,,,,
116A,WD,116A_1_WD,,,0,,,,
117,WD,117_1_WD,,,0,,,,
117,SAT,117_1_SAT,,,0,,,,
117,SUN,117_1_SUN,,,0,,,,
117,WD,117_2_WD,,,1,,,,
117,SAT,117_2_SAT,,,1,,,,
117,SUN,117_2_SUN,,,1,,,,
117A,WD,117A_1_WD,,,0,,,,
117M,WD,117M_1_WD,,,0,,,,
117M,WD,117M_2_WD,,,1,,,,
118,WD,118_1_WD,,,0,,,,
118,SAT,118_1_SAT,,,0,,,,
118,SUN,118_1_SUN,,,0,,,,
118,WD,118_2_WD,,,1,,,,
118,SAT,118_2_SAT,,,1,,,,
118,SUN,118_2_SUN,,,1,,,,
118A,WD,118A_1_WD,,,0,,,,
118B,WD,118B_1_WD,,,0,,,,
